"id_odsp";"id_event";"sort_order";"time";"text";"event_type";"event_type2";"side";"event_team";"opponent";"player";"player2";"player_in";"player_out";"shot_place";"shot_outcome";"is_goal";"location";"bodypart";"assist_method";"situation";"fast_break"
"YPNVDAyR/";"YPNVDAyR47";47.0;52.0;"Attempt missed. Etienne Capoue (Toulouse) left footed shot from outside the box is high and wide to the right.";1.0;"NA";1.0;"Toulouse";"Nice";"etienne capoue";"NA";"NA";"NA";"6";"2";0.0;"15";"2";0.0;"1";0.0
"GfpPRT5Q/";"GfpPRT5Q33";33.0;34.0;"Foul by Jordan Loties (Nancy).";3.0;"NA";1.0;"AS Nancy Lorraine";"St Etienne";"jordan loties";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"hxBq4pba/";"hxBq4pba11";11.0;9.0;"Foul by Roberto Pereyra (Udinese).";3.0;"NA";2.0;"Udinese";"Catania";"roberto pereyra";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"WYULsbt6/";"WYULsbt674";74.0;71.0;"Goal!  Racing 1, Osasuna 3. Raul GarcA­a (Osasuna) header from the centre of the box to the centre of the goal.";1.0;"NA";2.0;"Osasuna";"Racing Santander";"raul garcia";"NA";"NA";"NA";"5";"1";1.0;"3";"3";0.0;"1";0.0
"YRn98lal/";"YRn98lal78";78.0;61.0;"Gueida Fofana (Lyon) wins a free kick in the defensive half.";8.0;"NA";2.0;"Lyon";"AC Ajaccio";"gueida fofana";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"f9ytOK4h/";"f9ytOK4h51";51.0;57.0;"Foul by Jordan Ayew (Marseille).";3.0;"NA";2.0;"Marseille";"Sochaux";"jordan ayew";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"SMZmMbZ4/";"SMZmMbZ41";1.0;1.0;"Benjamin Nivet (Caen) wins a free kick on the left wing.";8.0;"NA";2.0;"Caen";"Valenciennes";"benjamin nivet";"NA";"NA";"NA";"NA";"NA";0.0;"4";"NA";0.0;"NA";0.0
"2uVnh7qQ/";"2uVnh7qQ37";37.0;33.0;"Nunes (Mallorca) is shown the yellow card for a bad foul.";4.0;"NA";1.0;"Mallorca";"Espanyol";"nunes";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"xzyPj9fP/";"xzyPj9fP23";23.0;12.0;"Sylvain Marchal (Bastia) wins a free kick in the defensive half.";8.0;"NA";1.0;"Bastia";"Stade de Reims";"sylvain marchal";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"MBthq9Qi/";"MBthq9Qi81";81.0;66.0;"Substitution, SV Werder Bremen. Nils Petersen replaces Aleksandar Ignjovski.";7.0;"NA";2.0;"Werder Bremen";"Borussia Dortmund";"NA";"NA";"nils petersen";"aleksandar ignjovski";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"EHgJth6L/";"EHgJth6L5";5.0;7.0;"Foul by Borja Valero (Fiorentina).";3.0;"NA";1.0;"Fiorentina";"Udinese";"borja valero";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"ryG3qRna/";"ryG3qRna15";15.0;20.0;"JoA«l Sami (Nancy) wins a free kick in the defensive half.";8.0;"NA";1.0;"AS Nancy Lorraine";"Toulouse";"joel sami";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"ryG3qRna/";"ryG3qRna92";92.0;83.0;"Foul by Daniel Braaten (Toulouse).";3.0;"NA";2.0;"Toulouse";"AS Nancy Lorraine";"daniel braaten";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"jadnzjqk/";"jadnzjqk48";48.0;48.0;"Attempt missed. Robinho (Milan) right footed shot from outside the box is high and wide to the right.";1.0;"NA";1.0;"AC Milan";"Sampdoria";"robinho";"NA";"NA";"NA";"6";"2";0.0;"15";"1";0.0;"1";0.0
